OriginalWord,PerturbWord,OriginalLabel,Misclassify,LengthOrig,LengthPert,SentimentOrig,SentimentPert,SyllableOrig,SyllablePert,SubjectivityOrig,SubjectivityPert
perfectly,abundantly,Ham,No,9,10,1.0,0.6,3,3,1.0,0.95
this,these,Ham,No,4,5,0.0,0.0,1,1,0.0,0.0
themselves,yourself,Ham,No,10,8,0.0,0.0,2,2,0.0,0.0
are,'re,Ham,No,3,3,0.0,0.0,1,1,0.0,0.0
being,continuing,Ham,No,5,10,0.0,0.0,2,4,0.0,0.0
saved,rescued,Ham,No,5,7,0.0,0.0,1,2,0.0,0.0
single,mere,Ham,No,6,4,-0.07142857142857142,-0.5,2,1,0.21428571428571427,0.5
as,since,Ham,No,2,5,0.0,0.0,1,1,0.0,0.0
For,per,Ham,No,3,3,0.0,0.0,1,1,0.0,0.0
considerable,enormous,Ham,No,12,8,0.1,0.0,4,2,0.45,0.9
were,became,Ham,No,4,6,0.0,0.0,1,2,0.0,0.0
done,completed,Ham,No,4,9,0.0,0.0,1,3,0.0,0.0
recently,freshly,Ham,No,8,7,0.0,0.3,3,2,0.25,0.5
recently,lately,Ham,No,8,6,0.0,-0.3,3,2,0.25,0.6
had,got,Ham,No,3,3,0.0,0.0,1,1,0.0,0.0
update,upgrade,Ham,No,6,7,0.0,0.0,2,2,0.0,0.0
from,among,Ham,Yes,4,5,0.0,0.0,1,1,0.0,0.0
3.0,3,Ham,Yes,3,1,0.0,0.0,1,1,0.0,0.0
correct,proper,Ham,Yes,7,6,0.0,0.0,2,2,0.0,0.1
line,consonance,Ham,Yes,4,10,0.0,0.0,1,3,0.0,0.0
is,becomes,Ham,Yes,2,7,0.0,0.0,1,2,0.0,0.0
misused,diverted,Ham,Yes,7,8,0.0,0.0,2,3,0.0,0.0
apache,comanche,Ham,Yes,6,8,0.0,0.0,1,2,0.0,0.0
---,--------,Ham,Yes,3,8,0.0,0.0,0,0,0.0,0.0
{,={,Ham,Yes,1,2,0.0,0.0,0,0,0.0,0.0
to,into,Ham,Yes,2,4,0.0,0.0,1,2,0.0,0.0
uses,utilizes,Spam,Yes,4,8,0.0,0.0,2,2,0.0,0.0
2006,27/10/2006,Spam,Yes,4,10,0.0,0.0,1,1,0.0,0.0
other,additional,Spam,Yes,5,10,-0.125,0.0,2,4,0.375,0.0
uses,utilizes,Spam,Yes,4,8,0.0,0.0,2,2,0.0,0.0
prehistoric,archeological,Spam,Yes,11,13,0.0,0.0,3,5,0.0,0.0
In,into,Spam,Yes,2,4,0.0,0.0,1,2,0.0,0.0
several,numerous,Spam,Yes,7,8,0.0,0.0,3,3,0.0,0.5
and,nor,Spam,Yes,3,3,0.0,0.0,1,1,0.0,0.0
and,nor,Spam,Yes,3,3,0.0,0.0,1,1,0.0,0.0
largely,fundamentally,Spam,Yes,7,13,0.21428571428571427,0.0,2,5,0.42857142857142855,0.0
objects,articles,Spam,Yes,7,8,0.0,0.0,2,3,0.0,0.0
sometimes,occasionally,Spam,Yes,9,12,0.0,0.0,2,5,0.0,0.125
called,appealed,Spam,Yes,6,8,0.0,0.0,1,2,0.0,0.0
excluding,barring,Spam,Yes,9,7,0.0,0.0,3,2,0.0,0.0
these,those,Spam,Yes,5,5,0.0,0.0,1,1,0.0,0.0
perhaps,possibly,Spam,Yes,7,8,0.0,0.0,2,3,0.0,1.0
by,for,Spam,Yes,2,3,0.0,0.0,1,1,0.0,0.0
